episode_id,failure_mode,failure_group,preliminary_severity,ttf_seconds,event,revised_severity,total_window_s,data_source,ttr_seconds
ep_00117_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00118_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.128483
ep_00119_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00120_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00121_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00122_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.13007
ep_00123_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00124_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00125_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00126_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00127_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.12454
ep_00128_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00129_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,238.0,0,P3,238.0,right_censored,
ep_00130_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.128934
ep_00131_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00132_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.128371
ep_00133_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00134_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00135_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00136_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.13799
ep_00137_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00138_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,62.34,1,P2,238.0,auto_arima_forecast,0.130462
ep_00140_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,50.51,1,P2,238.0,auto_arima_forecast,0.121582
ep_00141_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.12908
ep_00142_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00143_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.139318
ep_00144_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00145_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00146_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P3,135.8,1,P3,238.0,auto_arima_forecast,
ep_00147_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.150034
ep_00148_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.123719
ep_00149_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.132724
ep_00151_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00152_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00153_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.126337
ep_00154_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00155_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.125497
ep_00156_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00157_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00158_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00159_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00160_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,82.64,1,P2,238.0,auto_arima_forecast,0.128
ep_00161_QUEUE_BACKUP,QUEUE_BACKUP,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.127204
ep_00162_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.127381
ep_00163_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00164_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.12638
ep_00165_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00166_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.124925
ep_00167_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00168_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.12868
ep_00170_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00171_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.128185
ep_00172_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.12871
ep_00173_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.13509
ep_00175_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.130076
ep_00176_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00177_QUEUE_BACKUP,QUEUE_BACKUP,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.137094
ep_00178_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.134002
ep_00179_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00180_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.128306
ep_00181_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00182_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.132171
ep_00183_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00184_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00185_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00186_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.12758
ep_00187_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00188_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00189_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00190_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00191_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.130237
ep_00192_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.131921
ep_00193_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00194_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00195_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.127478
ep_00196_QUEUE_BACKUP,QUEUE_BACKUP,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.137193
ep_00197_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.131971
ep_00198_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.128143
ep_00199_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00200_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,15.47,1,P1,238.0,auto_arima_forecast,0.122909
ep_00201_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00202_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00203_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00204_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.129143
ep_00205_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,129.92,1,P3,238.0,auto_arima_forecast,
ep_00206_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00207_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.129897
ep_00208_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00209_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.129477
ep_00210_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00212_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.12999
ep_00213_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00214_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00215_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00217_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.13306
ep_00218_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.136313
ep_00219_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00220_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00221_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00222_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00223_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.129261
ep_00224_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.127544
ep_00225_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00227_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00228_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00229_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.126607
ep_00230_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.132315
ep_00231_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,41.02,1,P2,238.0,auto_arima_forecast,0.126104
ep_00232_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.125154
