cycle,episode_id,failure_mode,timestamp,elapsed_s,preliminary_severity,severity_raw,severity_weighted_score,severity_critical_count,severity_warning_count,severity_blast_size,severity_reason,predicted_failure,prediction_probability,dominant_state,vote_distribution,window_margin,window_full,window_size
14,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.9949684,26.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
15,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.035551,28.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
16,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.0760887,30.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
17,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.1164951,32.0,P4,,,,,,,CACHE_STAMPEDE,0.9999,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
18,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.1570146,34.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
19,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.19749,36.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
20,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.2380238,38.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
21,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.2787335,40.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
22,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.3190603,42.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
23,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.3592682,44.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
24,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.3994575,46.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
25,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.4399843,48.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
26,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.4800384,50.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
27,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.5202594,52.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
28,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.5607069,54.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
29,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.600937,56.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
30,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.641459,58.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
31,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.6819394,60.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
32,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.7222154,62.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
33,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.7622566,64.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
34,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.8026903,66.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
35,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.8432112,68.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
36,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.8836434,70.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
37,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.9242094,72.0,P4,,,,,,,CACHE_STAMPEDE,0.9999,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
38,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697907.964451,74.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
39,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.0049636,76.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
40,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.045419,78.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
41,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.0857358,80.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
42,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.1262596,82.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
43,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.1665623,84.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
44,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.2066734,86.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
45,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.2470124,88.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
46,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.2872887,90.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
47,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.3277814,92.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
48,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.368059,94.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
49,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.4084754,96.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
50,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.4488673,98.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
51,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.4890695,100.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
52,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.5295284,102.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
53,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.5697725,104.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
54,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.6098995,106.0,P4,,,,,,,CACHE_STAMPEDE,0.9999,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
55,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.65007,108.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
56,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.6905313,110.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
57,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.7308586,112.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
58,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.7713144,114.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
59,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.8118324,116.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
60,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.8521113,118.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
61,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.8923693,120.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
62,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.9327364,122.0,P4,,,,,,,CACHE_STAMPEDE,0.9999,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
63,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697908.9731102,124.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
64,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.014664,126.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
65,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.0552278,128.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
66,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.095602,130.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
67,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.1358094,132.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
68,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.1765704,134.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
69,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.2171018,136.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
70,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.2575548,138.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
71,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.297855,140.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
72,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.3382158,142.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
73,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.3783414,144.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
74,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.418427,146.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
75,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.4586456,148.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
76,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.4990108,150.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
77,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.5394304,152.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
78,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.5797157,154.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
79,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.620227,156.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
80,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.6604552,158.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
81,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.7012458,160.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
82,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.7416742,162.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
83,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.7824237,164.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
84,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.8228803,166.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
85,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.8634164,168.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
86,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.9038248,170.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
87,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.9442048,172.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
88,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697909.9844396,174.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
89,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.0247612,176.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
90,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.0650187,178.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
91,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.105532,180.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
92,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.1456177,182.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
93,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.1860957,184.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
94,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.226621,186.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
95,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.26673,188.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
96,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.3070672,190.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
97,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.347243,192.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
98,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.3874848,194.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
99,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.4278994,196.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
100,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.46843,198.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
101,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.508803,200.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
102,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.5492086,202.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
103,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.589401,204.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
104,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.6300993,206.0,P4,,,,,,,CACHE_STAMPEDE,0.9999,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
105,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.6707568,208.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
106,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.7110832,210.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
107,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.7514985,212.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
108,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.792316,214.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
109,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.8327336,216.0,P4,,,,,,,CACHE_STAMPEDE,0.9999,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
110,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.8732417,218.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
111,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.9136858,220.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
112,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.9542723,222.0,P4,,,,,,,CACHE_STAMPEDE,0.9999,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
113,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697910.9947307,224.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
114,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697911.035227,226.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
115,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697911.0758283,228.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
116,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697911.1163852,230.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
117,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697911.1567838,232.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
118,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697911.197245,234.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
119,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697911.2380593,236.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
120,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697911.278161,238.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
121,ep_00002_NONE,NONE,1785697911.3191173,0.0,P4,,,,,,,NONE,1.0,CACHE_STAMPEDE,"{'CACHE_STAMPEDE': 9, 'NONE': 1}",8,True,10
122,ep_00002_NONE,NONE,1785697911.359305,2.0,P4,,,,,,,NONE,1.0,CACHE_STAMPEDE,"{'CACHE_STAMPEDE': 8, 'NONE': 2}",6,True,10
123,ep_00002_NONE,NONE,1785697911.3996415,4.0,P4,,,,,,,NONE,1.0,CACHE_STAMPEDE,"{'CACHE_STAMPEDE': 7, 'NONE': 3}",4,True,10
124,ep_00002_NONE,NONE,1785697911.4402044,6.0,P4,,,,,,,NONE,1.0,CACHE_STAMPEDE,"{'CACHE_STAMPEDE': 6, 'NONE': 4}",2,True,10
125,ep_00002_NONE,NONE,1785697911.4826608,8.0,P4,,,,,,,NONE,1.0,CACHE_STAMPEDE,"{'CACHE_STAMPEDE': 5, 'NONE': 5}",0,True,10
126,ep_00002_NONE,NONE,1785697911.5231485,10.0,P4,,,,,,,NONE,1.0,NONE,"{'CACHE_STAMPEDE': 4, 'NONE': 6}",2,True,10
